store_id,store_name,neighborhood,excel_sheet,excel_naver_url_exists,extracted_address,kakao_query,unresolved_reason,recommended_action
382dd89b36993ff8,이동천 시원냉면 여서점,여서동,,no,,이동천 시원냉면 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
31ffaa41b54a57aa,이라이타코야끼 봉산점,봉산동,,no,,이라이타코야끼 봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
90fed609e43aafb2,이라이타코야끼&카페1리터 여문점,"여서,문수",,no,,"이라이타코야끼&카페1리터 여문점 여서,문수",네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
b22e961a2bed3729,인생냉면 가야밀면 여서점,여서동,,no,,인생냉면 가야밀면 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
de1d344e8798f0dd,인생냉면 국동점,국동,,no,,인생냉면 국동점 국동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
401e4210d0416b54,자연산오징어회 봉산점,봉산동,,no,,자연산오징어회 봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
f58bf8f877dcacd5,정담오리바베큐 여수엑스포점,덕충동,,no,,정담오리바베큐 여수엑스포점 덕충동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
21a676f860851a5a,정말 맛있는 김치찌개 문수점,문수동,,no,,정말 맛있는 김치찌개 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
98779281080288d1,제복이네 짜글이&제육쌈밥&두루치기 교동점,교동,,no,,제복이네 짜글이&제육쌈밥&두루치기 교동점 교동,가게명·지점명·동네 불일치,Notion 가게명과 네이버 장소명·지점·동네를 수동 대조
0df36c0ba138ac89,제육대패 문수점,문수동,,no,,제육대패 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
82fb6c389b7aced5,종가찜 문수점,문수동,,no,,종가찜 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
4e43f1180007c10f,쥬씨차얌 여서점,여서동,,no,,쥬씨차얌 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
54fd901a0b754ee1,집으로 삼겹구이 문수점,문수동,,no,,집으로 삼겹구이 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
a4ba6805e73e7e76,짜장왕 왕서방 여서점,여서동,,no,,짜장왕 왕서방 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
09dc33ce2f8f08d3,쭈꾸미닭 공화점,공화동,,no,,쭈꾸미닭 공화점 공화동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
77b1600313d1d6d4,쭈신쭈왕 문수점,문수동,,no,,쭈신쭈왕 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
2524c5a9954d4ba8,찌개랑갈비랑 여서점,여서동,,no,,찌개랑갈비랑 여서점 여서동,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
9b2419177903b1d8,찜스틸러갈비찜 봉산점,봉산동,,no,,찜스틸러갈비찜 봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
102347a538ed090c,차이난짬뽕 여서점,여서동,,no,,차이난짬뽕 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
3c62ab40bf66608e,참숯이면돼지 문수점,문수동,,no,,참숯이면돼지 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
215d025987786df2,찹쌀품은 삼계탕 문수점,문수동,,no,,찹쌀품은 삼계탕 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
bb9aef1788a685c6,청년뚝배기 덕충점,덕충동,,no,,청년뚝배기 덕충점 덕충동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
7d656b9342aabd94,청담곱떡 고소동점,고소동,,no,,청담곱떡 고소동점 고소동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
8df8f77db6d9a205,청담낙곱새 고소동점,고소동,,no,,청담낙곱새 고소동점 고소동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
37f1a033eac82aa2,청송삼계탕&닭칼국수 문수점,문수동,,no,,청송삼계탕&닭칼국수 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
9acc51c50813ce03,초밥처럼 봉산점,봉산동,,no,,초밥처럼 봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
2857b7140087f6ab,치코두마리파닭 여서점,여서동,,no,,치코두마리파닭 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
f1fa55a4b8c7c428,치킨아이 국동점,국동,,no,,치킨아이 국동점 국동,검색 결과가 여러 개라 자동 확정 불가,후보 주소·지점명·동네를 수동 대조해 한 곳만 확정
9abb1d4db21758ad,카레상 봉산점,봉산동,,no,,카레상 봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
9ab837d6e24d69df,카페요아정 여수엑스포점,덕충동,,no,,카페요아정 여수엑스포점 덕충동,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
60dbbe5071a2ebe6,코리안 찌개 타운 서교점,서교동,,no,,코리안 찌개 타운 서교점 서교동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
f3cb61dd45ba9b8b,콩담은 콩나물 국밥 문수점,문수동,,no,,콩담은 콩나물 국밥 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
f17f729605bb5945,키로족발 여수점(여서동),여서동,,no,,키로족발 여수점(여서동) 여서동,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
0eea4a740e820fd3,타코아찌 타코야끼전문점 문수점,문수동,,no,,타코아찌 타코야끼전문점 문수점 문수동,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
92f4faa988a87728,타코이찌 타코야끼전문점 문수점,문수동,,no,,타코이찌 타코야끼전문점 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
a6f3cc0da6d5c044,통큰두마리찜닭 여서점,여서동,,no,,통큰두마리찜닭 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
217d38b37c2b4d5b,통큰한방삼계탕 공화점,공화동,,no,,통큰한방삼계탕 공화점 공화동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
83f635e7ea7d737e,파파핫도그 여서점,여서동,,no,,파파핫도그 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
7af7ffc2da561850,하루빙수 여서점,여서동,,no,,하루빙수 여서점 여서동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
06f2a251304b0a51,한끼국밥&갈비찜 국동점,국동,,no,,한끼국밥&갈비찜 국동점 국동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
53bfb32926455221,한식전문 혼밥대장 공화동점,공화동,,no,,한식전문 혼밥대장 공화동점 공화동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
43780265104bccba,핵떡 여수봉산점,봉산동,,no,,핵떡 여수봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
d19810627d63e95c,허참봉 곰탕&갈비탕 봉산점,봉산동,,no,,허참봉 곰탕&갈비탕 봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
18503945dc9c16c8,홍紅 곱도리탕 봉강점,봉강동,,no,,홍紅 곱도리탕 봉강점 봉강동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
a0e873ce4d21b431,와쭈 본점,홈화면,,no,,와쭈 본점 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
a037743d0ee273e2,정성집밥,홈화면,,no,,정성집밥 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
7bc7239e6b509c44,수라상궁 조선국밥 여서점,홈화면,,no,,수라상궁 조선국밥 여서점 홈화면,Notion에 주소·지도 정보 없음,기존 Notion 원본에 정확한 도로명주소와 해당 가게 네이버지도 링크 확인
04910f606ba038a6,오워래 수제 돈까스,홈화면,,no,,오워래 수제 돈까스 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
320d26d67b993c4a,아로이태국음식전문점,저장해두시면,,no,,아로이태국음식전문점 저장해두시면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
1921d1d5c7710872,모두의 죽 교동점(영업시간06시~02시까지),교동,,no,,모두의 죽 교동점(영업시간06시~02시까지) 교동,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
768e4fe8150f5039,정성이 가득찬 반찬,저장해두시면,,no,,정성이 가득찬 반찬 저장해두시면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
d409f6d9118b7bad,황금손 반찬,저장해두시면,,no,,황금손 반찬 저장해두시면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
84c118675c0caa4c,바오탕수 여서점,홈화면,,no,,바오탕수 여서점 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
f7d93ad21c1a93d7,맘스터치 엑스포점,홈화면,,no,,맘스터치 엑스포점 홈화면,Notion에 주소·지도 정보 없음,기존 Notion 원본에 정확한 도로명주소와 해당 가게 네이버지도 링크 확인
1acf6756b7471125,맘스터치 중앙점,홈화면,,no,,맘스터치 중앙점 홈화면,Notion에 주소·지도 정보 없음,기존 Notion 원본에 정확한 도로명주소와 해당 가게 네이버지도 링크 확인
4e83618703e993b5,걸작떡볶이치킨 여수중앙점,홈화면,,no,,걸작떡볶이치킨 여수중앙점 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
91798b85e5a50244,진남집밥 교동점,교동,,no,,진남집밥 교동점 교동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
144ed6ece1f4734a,여수팥빙수 교동점,교동,,no,,여수팥빙수 교동점 교동,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
411052fdc9de5d44,모노데일리 남산점,홈화면,,no,,모노데일리 남산점 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
e5b0545e92f03409,이조삼계탕 충무점,홈화면,,no,,이조삼계탕 충무점 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
98a1464075ea68e5,포슈아 쌀국수배달전문 서교점,홈화면,,no,,포슈아 쌀국수배달전문 서교점 홈화면,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
b58c688c90df4687,본죽&비빔밥 여수중앙점,홈화면,,no,,본죽&비빔밥 여수중앙점 홈화면,Notion에 주소·지도 정보 없음,기존 Notion 원본에 정확한 도로명주소와 해당 가게 네이버지도 링크 확인
8dc7782b3cb4bdcf,김밥세상 광무점,홈화면,,no,,김밥세상 광무점 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
3bcce1dd4c36eee0,동백 봉강점,홈화면,,no,,동백 봉강점 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
5942ed8c00fa1037,금도령찜닭 여수봉강점,홈화면,,no,,금도령찜닭 여수봉강점 홈화면,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
c29fb9cd27867a9d,여서해장국,홈화면,,no,,여서해장국 홈화면,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
02bed6e23cbbf188,양아 치킨 여수점(문수동),문수동,,no,,양아 치킨 여수점(문수동) 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
0bcf02e9bd40b7d0,뿅가야채곱창 문수점,홈화면,,no,,뿅가야채곱창 문수점 홈화면,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
9e422525b203c97f,황실육회 봉산점(1),홈화면,,no,,황실육회 봉산점(1) 홈화면,네이버지도 링크는 있으나 주소 추출 실패,단축링크 최종 목적지와 네이버 장소 페이지를 수동 확인
17d9bf1de3d671fd,해인이네 여서점,홈화면,여서동,yes,전남 여수시 여서1로 72-1 1층 해인이네,전남 여수시 여서1로 72-1 1층 해인이네,검색 결과가 여러 개라 자동 확정 불가,카카오 주소 후보와 네이버 장소를 수동 대조
